Date,Price,Open,High,Low,Vol.,Change %
21-Feb-20,99.188,99.765,99.79,99.14,23.26K,-0.59%
20-Feb-20,99.776,99.47,99.815,99.445,18.07K,0.18%
19-Feb-20,99.597,99.315,99.62,99.275,14.00K,0.27%
18-Feb-20,99.333,99.1,99.375,99.03,13.76K,0.33%
17-Feb-20,99.003,99.03,99.095,98.935,3.91K,0.00%
14-Feb-20,99.003,98.995,99.045,98.875,16.18K,0.05%
13-Feb-20,98.958,98.895,99.01,98.745,12.79K,0.04%
12-Feb-20,98.922,98.665,98.925,98.58,14.97K,0.33%
11-Feb-20,98.594,98.75,98.855,98.585,14.35K,-0.12%
10-Feb-20,98.714,98.57,98.77,98.49,11.20K,0.15%
7-Feb-20,98.571,98.335,98.6,98.3,13.51K,0.19%
6-Feb-20,98.381,98.18,98.445,98.075,14.24K,0.23%
5-Feb-20,98.158,97.8,98.18,97.76,18.14K,0.36%
4-Feb-20,97.809,97.645,97.855,97.635,11.60K,0.19%
3-Feb-20,97.625,97.245,97.755,97.23,18.79K,0.42%
31-Jan-20,97.213,97.685,97.79,97.165,19.45K,-0.50%
30-Jan-20,97.706,97.86,97.91,97.62,15.51K,-0.12%
29-Jan-20,97.819,97.78,98.005,97.76,10.09K,-0.02%
28-Jan-20,97.835,97.745,97.975,97.715,10.15K,0.07%
27-Jan-20,97.767,97.64,97.8,97.59,17.92K,0.12%
24-Jan-20,97.65,97.49,97.74,97.45,16.25K,0.17%
23-Jan-20,97.484,97.305,97.59,97.185,18.07K,0.19%
22-Jan-20,97.295,97.38,97.46,97.15,12.49K,0.00%
21-Jan-20,97.294,97.385,97.42,97.15,11.01K,-0.07%
20-Jan-20,97.359,97.4,97.485,97.335,4.74K,0.00%
17-Jan-20,97.359,97.07,97.41,97.01,12.42K,0.31%
16-Jan-20,97.062,96.935,97.115,96.815,11.83K,0.11%
15-Jan-20,96.96,97.095,97.18,96.885,10.98K,-0.14%
14-Jan-20,97.094,97.09,97.305,97.045,8.81K,0.04%
13-Jan-20,97.06,97.1,97.245,97.02,8.53K,-0.02%
10-Jan-20,97.078,97.145,97.3,97.005,10.77K,-0.09%
9-Jan-20,97.162,96.985,97.275,96.955,11.37K,0.17%
8-Jan-20,96.996,96.56,97.04,96.525,13.73K,0.30%
7-Jan-20,96.702,96.37,96.795,96.31,11.61K,0.37%
6-Jan-20,96.35,96.565,96.585,96.23,10.96K,-0.18%
3-Jan-20,96.521,96.44,96.795,96.395,12.64K,0.00%
2-Jan-20,96.525,96.14,96.56,96.1,17.44K,0.49%
31-Dec-19,96.058,96.415,96.415,96.02,11.50K,-0.36%
30-Dec-19,96.407,96.595,96.63,96.255,12.04K,-0.14%
27-Dec-19,96.546,97.145,97.16,96.535,14.11K,-0.59%
26-Dec-19,97.115,97.255,97.295,97.075,4.49K,-0.14%
24-Dec-19,97.251,97.26,97.39,97.2,4.04K,0.02%
23-Dec-19,97.235,97.295,97.405,97.17,6.53K,-0.04%
20-Dec-19,97.274,96.995,97.35,96.975,11.73K,0.33%
19-Dec-19,96.955,96.975,97.065,96.805,10.32K,-0.01%
18-Dec-19,96.963,96.79,97.045,96.78,9.89K,0.19%
17-Dec-19,96.777,96.705,96.865,96.585,13.27K,-0.19%
16-Dec-19,96.965,97.15,97.15,96.93,0.39K,-0.21%
13-Dec-19,97.171,96.835,97.23,96.715,9.00K,-0.22%
12-Dec-19,97.384,97.07,97.52,97.03,22.81K,0.34%
11-Dec-19,97.056,97.485,97.575,97.015,24.33K,-0.34%
10-Dec-19,97.385,97.62,97.63,97.37,13.49K,-0.23%
9-Dec-19,97.609,97.665,97.7,97.525,21.77K,-0.05%
6-Dec-19,97.661,97.38,97.815,97.2,26.39K,0.30%
5-Dec-19,97.371,97.535,97.555,97.31,10.06K,-0.24%
4-Dec-19,97.602,97.67,97.74,97.355,17.81K,-0.08%
3-Dec-19,97.681,97.87,97.88,97.585,12.75K,-0.11%
2-Dec-19,97.791,98.21,98.32,97.75,23.02K,-0.42%
29-Nov-19,98.202,98.265,98.495,98.155,11.82K,-0.09%
28-Nov-19,98.288,98.265,98.34,98.2,3.66K,0.00%
27-Nov-19,98.288,98.225,98.37,98.205,10.95K,0.12%
26-Nov-19,98.17,98.25,98.31,98.145,7.74K,-0.07%
25-Nov-19,98.238,98.19,98.295,98.08,8.19K,0.06%
22-Nov-19,98.176,97.86,98.215,97.7,11.32K,0.28%
21-Nov-19,97.899,97.775,97.945,97.62,15.47K,0.09%
20-Nov-19,97.814,97.73,97.93,97.73,10.12K,0.07%
19-Nov-19,97.742,97.715,97.77,97.635,7.19K,0.08%
18-Nov-19,97.663,97.87,97.87,97.55,12.90K,-0.21%
15-Nov-19,97.871,98.01,98.11,97.83,7.26K,-0.15%
14-Nov-19,98.019,98.21,98.29,97.97,9.44K,-0.21%
13-Nov-19,98.23,98.185,98.3,98.14,10.00K,0.08%
12-Nov-19,98.151,98.075,98.27,98.055,8.45K,0.12%
11-Nov-19,98.033,98.23,98.235,97.97,8.46K,-0.17%
8-Nov-19,98.201,97.995,98.245,97.945,10.51K,0.22%
7-Nov-19,97.989,97.78,98.075,97.66,16.09K,0.23%
6-Nov-19,97.764,97.76,97.805,97.6,13.05K,-0.04%
5-Nov-19,97.805,97.355,97.825,97.275,20.72K,0.45%
4-Nov-19,97.366,97.03,97.38,96.975,11.56K,0.33%
1-Nov-19,97.041,97.11,97.265,96.96,14.89K,-0.12%
31-Oct-19,97.154,97.255,97.255,97.015,17.25K,-0.29%
30-Oct-19,97.439,97.46,97.8,97.23,16.51K,-0.03%
29-Oct-19,97.469,97.525,97.7,97.38,10.43K,-0.06%
28-Oct-19,97.524,97.6,97.665,97.445,7.77K,-0.08%
25-Oct-19,97.599,97.445,97.68,97.34,9.81K,0.20%
24-Oct-19,97.405,97.215,97.555,97.055,18.18K,0.17%
23-Oct-19,97.236,97.23,97.39,97.15,10.41K,-0.02%
22-Oct-19,97.256,97.04,97.315,96.99,17.85K,0.21%
21-Oct-19,97.05,97.06,97.13,96.885,14.80K,0.04%
18-Oct-19,97.008,97.355,97.395,96.91,19.05K,-0.34%
17-Oct-19,97.335,97.74,97.845,97.22,25.72K,-0.40%
16-Oct-19,97.723,98.02,98.145,97.61,32.82K,-0.29%
15-Oct-19,98.003,98.19,98.375,97.915,28.44K,-0.17%
14-Oct-19,98.17,98.04,98.265,98.04,11.24K,0.17%
11-Oct-19,98.005,98.4,98.45,97.885,31.39K,-0.41%
10-Oct-19,98.406,98.755,98.795,98.325,18.50K,-0.41%
